id,zone,dept,image_type,image_file,before_file,status,submitted_at
003b2ab1,Logistics,Logistics,after,1.1.17032026144644.jpg,1.17032026144644.jpg,pending,25-05-2026 02:09:14
1c066aca,Logistics,Logistics,before,1.17032026144813.jpg,1.17032026144813.jpg,pending,25-05-2026 02:09:35
a1650737,Logistics,Logistics,after,1.1.17032026144813.jpg,1.17032026144813.jpg,pending,25-05-2026 02:09:36
3c0ad3ff,DIC Mill,HSM-3,before,170.18052026172821.jpg,170.18052026172821.jpg,pending,26-05-2026 16:41:41
d3cf22d2,DIC Mill,HSM-3,before,176.18052026173142.jpg,176.18052026173142.jpg,pending,26-05-2026 16:43:18
f0742313,DIC Mill,HSM-3,after,176.1.18052026173142.jpg,176.18052026173142.jpg,pending,26-05-2026 16:43:24
202a35cc,DIC Mill,HSM-3,before,170.18052026172858.jpg,170.18052026172858.jpg,pending,26-05-2026 16:43:52
1755c84d,DIC Mill,HSM-3,after,170.1.18052026172858.jpg,170.18052026172858.jpg,pending,26-05-2026 16:43:55
67bf844e,DIC Mill,HSM-3,before,170.18052026172821.jpg,170.18052026172821.jpg,pending,26-05-2026 16:44:13
0ad45917,DIC Mill,HSM-3,after,170.1.18052026172821.jpg,170.18052026172821.jpg,pending,26-05-2026 16:44:15
5f922bc8,DIC Mill,HSM-3,before,170.18052026172727.jpg,170.18052026172727.jpg,pending,26-05-2026 16:44:32
a53636ff,DIC Mill,HSM-3,after,170.1.18052026172727.jpg,170.18052026172727.jpg,pending,26-05-2026 16:44:34
2cd4c276,DIC Mill,HSM-3,before,170.18052026172717.jpg,170.18052026172717.jpg,pending,26-05-2026 16:44:36
3649410b,DIC Mill,HSM-3,after,170.1.18052026172717.jpg,170.18052026172717.jpg,pending,26-05-2026 16:44:38
37c832d8,DIC Mill,HSM-3,before,169.18052026172503.jpg,169.18052026172503.jpg,pending,26-05-2026 16:45:00
a5a9b617,DIC Mill,HSM-3,after,169.1.18052026172503.jpg,169.18052026172503.jpg,pending,26-05-2026 16:45:02
c2201c2a,DIC Mill,HSM-3,before,169.18052026172444.jpg,169.18052026172444.jpg,pending,26-05-2026 16:45:06
