S #,PRODUCT,PRODUCT DESCRIPTION,Examples,photo,UOM,RMHS,PP- & OBP-1,PP-2,PP-3,SP1,"SP-2,3, 4 &5",LCP-1 TO 4,CO-3&4,CO-5,CX-1&2,BF-1&2,BF-4,BF-5,DRI,SMS-1,SMS-2,SMS-3,SMS-4,HSM-1,HSM-2,HSM-3,WRM-1 & BRM-1,WRM-2 & BRM-2,CRM-1,CRM-2,EMD,UTILITY,CMD/ISHOP/MRS,LOGISTIC,Total (months),Total (per year)
48,7100000734,SCRAPPED CCM WORK /IMR ROLLS (HOLLOW),,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.3,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.32,135.84
49,7100000736,SCRAPPED CCM WORK /IMR ROLLS (SOLID),,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,3500.0,0.0,0.7000000000000001,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,3518.22,42218.64
50,7100000737,SCRAPPED CRM BACKUP ROLL (CAST IRON),,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7502.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,7520.0,90240.0
51,7100000738,SCRAPPED CRM BACKUP ROLL (FORGE STEEL),,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,62.0,744.0
52,7100000886,SCRAPPED FM WORK ROLL (HSS),,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,40.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,588.0
53,7100000916,USED / SCRAPPED COOLING TOWER PVC FILLS,,,MT,33.33,0.0,0.0625,0.0,0.0,0.001,0.001,1.0,5.0,0.0,0.0,0.05,0.0,0.05,0.5,0.01,0.01,0.01,12.0,1.0,50.0,0.0,0.0,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,103.04116666666664,1236.494
54,7100000917,USED / SCRAPPED POLYMER LINER / SHEET,,,MT,1.425,0.2,0.25,3.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.955,635.46
55,7100000975,SCRAPPED EMPTY M.S. DRUMS (DAMAGED),,,EA,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,100.0,1.0,1.0,1.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,214.0,2568.0
56,7100001312,RESIDUE SCRAP REFRACTORY DEBRIS/POWDE,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,200.0,492.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,12804.0
57,7100001366,USED SCREEN DECK - EN60,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.916,190.992
58,7100001425,"SCRP,USED/SCRAPPED RO MEMBRANE",,,EA,0.0,0.0,0.0,50.0,0.0,0.0,0.0,600.0,560.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,30.0,40.0,0.0,20.0,0.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,1375.0,16500.0
59,7100001446,"SCRP,SCRAPPED PLASTIC TANK- 1000 LTR",,,EA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,636.0
60,7100001477,SCRAPPED LIFTER BAR/LINERS,,,MT,0.0,0.0,0.5,3.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,92.4
61,7100001535,SCRAPPED MAGNESIA CHROME BRICKS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.8,85.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.9,2470.8
62,7100001925,"SCRP,RADIANT TB SCRP,NI- CR ALY",,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.02,624.24
63,7100001985,"SCRP,SCRAPPED/USED WSTE FLTR CLTH",,,MT,0.0,0.3,0.0,15.0,0.02,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,80.0,0.5,0.0,0.0,0.0,35.0,0.05,55.0,0.02,0.04,50.0,0.0,0.0,0.0,0.0,0.0,236.43,2837.16
64,7100002317,"SCRP,DRY ROT WD / WSTE WD",,,MT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.53,678.36
65,7100002327,"SCRP,AMB EMPTY BTL,2.5 L,GLASS",,,EA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,70.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,106.0,1272.0
66,7100002397,"SCRP,FRP SCRP",,,MT,0.0,0.01,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,5000.0,0.0,10.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,5010.341,60124.092
67,7100000041,OLD & USED ALUMINIUM CABLE SCRAP,,,MT,0.0,0.5,0.005,0.008,0.0,0.05,0.002,0.0,1.0,0.0,0.0,0.1,0.03,0.0,0.9,0.0,0.05,0.05,2500.0,0.5,0.5,0.15,0.12,0.2,0.0,0.0,0.1,0.003,0.0,2504.268,30051.216
68,7100000367,PVC CAN EMPTY ( OLD & USED),,,LTR,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,100.0,20.0,10.0,10.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,370.0,4440.0
69,7100000507,SCRAPPED SIX/SEVEN HOLE CHEQUER BRICKS,,,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,288.0
70,7100001076,SCRAPPED WASTE PLASTIC,,,MT,0.0,0.05,0.0,0.0,0.01,0.001,0.0,0.2,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.1,0.1,0.1,4.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,14.660999999999998,175.93199999999996
71,7100001635,SCRAPPED/USED CONVEYOR BELT(BURNT/TORN),,,MT,0.0,0.3,0.5,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.1,0.1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.61,451.32
72,7100000301,"COMPUTER SCRAP (MONITOR, CPU ETC.)",,,SET,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,336.0
